id,name,type,industry
Domain_8bcd69d51ec47fdd0418df83f3242e0cd6a33e26706c57696c7db7a6b0dc25b6,8bcd69d51e.com,Domain,[]
Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,78a81f3507.com,Domain,[]
Domain_51c280ae89a8493b3bf85d115f3ac6ec99bacdeac4402d1ef471299b72c8c0ac,51c280ae89.com,Domain,[]
Domain_392129e8cd25839f7806ca28c24937365f89437205d51dd80265392d6ae04c45,392129e8cd.com,Domain,[]
Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,7b81eb604b.com,Domain,[]
Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,d570aebdd3,Cert,
Domain_bd74eb0a61b2518d9eb0dff1442aed1e8f807c853aa8f506d6b77fdcb10dc907,bd74eb0a61.com,Domain,[]
Domain_a9f2307b488451b0af35641297c883594f64ea2062dd535090e9d2cbe357baa9,a9f2307b48.com,Domain,[]
Domain_fd90d7dec81e3bf3563c44f88c5fcdad02d2841f6542263b7bfcdfedd40ca90f,fd90d7dec8.com,Domain,[]
Domain_c43f463433685ce2660981927e54f1b6a1163ee55485919136f579e087d0eb92,c43f463433.com,Domain,[]
Domain_4f0a1ec451b599b63567340ade3a0d575b072310d0d037bca6970fa035fd369f,4f0a1ec451.com,Domain,[]
IP_dcf3630d109e25e31f4ec590e83509d90a95874ed53e32914e0eb2f4b56e6639,117.18.xxx.xxx,IP,
Domain_85d0ef1478f452523768b12de525ad8b93fad0098350a864528d7b81b63380a5,85d0ef1478.com,Domain,[]
Domain_4fb2ba047c74b88b26c9067df19bacf53e794c61c787ffaa5a486570c28bf2bd,4fb2ba047c.com,Domain,[]
Domain_339993bcdc8b1ee9986f7caec5823de0c6cc0ac98f3dee93bd19a4a41f0a9035,339993bcdc.com,Domain,[]
ASN_92053475f3698b9e4b5ab8493a67702090c5a5c15fed4887913210b29205faba,AS_92053475f3,ASN,
Domain_4579610e77aa644a25a472546b214e123efd8faa5ebe2be0dcb289aea38ede7e,4579610e77.com,Domain,[]
Domain_aa4dcad4f40a01dbe2afb9a7ec6d56d60e891626383a9c5ba55e6cfc868917b6,aa4dcad4f4.com,Domain,[]
Domain_38d192fa4348821e40ca8d14da3926796cebecfabc2b206d56d8dfbe16eb493b,38d192fa43.com,Domain,[]
Domain_5997229c85bbc8a322756f378ed62078ec4d3f3cbb2c930688f720bcc53be2e3,5997229c85.com,Domain,[]
Domain_bc47c2f2fa77a72eb7e1716cf61e550c34a1de54b6c6ff60cac7f9a6468f26ad,bc47c2f2fa.com,Domain,[]
Domain_687fd18e15f7bb60e5b8f13918ac74b74e75010e7206580a2e08ae46d066a7a8,687fd18e15.com,Domain,[]
