relation,source,target
r_dns_a,Domain_873ece70ad35d0c5092fe6e180311eeab27151d46b5e65c6dc08159733f940e7,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_cname,Domain_873ece70ad35d0c5092fe6e180311eeab27151d46b5e65c6dc08159733f940e7,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_whois_name,Domain_16abbab465a629629c0657e292b010dc435d117267584dde9e08ea10963d3243,Whois_Name_fbea3e9bbaf17dc56dfd90762da786842976c1812952d86515498ad9ef2ee620
r_dns_a,Domain_a9cd62b18647bfadac256895374c8c58d34e6c1033d37fae6cff77957d5230b8,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_cname,Domain_a9cd62b18647bfadac256895374c8c58d34e6c1033d37fae6cff77957d5230b8,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_whois_name,Domain_e3ae2eefdc054c8594d33554bac3aa71aeb48163b9b9d6e7131a7613ec772bba,Whois_Name_6f8f29c9036f063b7c0854eee15b8a8764c8f9ccc55a0559ca66db0479973923
r_dns_a,Domain_e3ae2eefdc054c8594d33554bac3aa71aeb48163b9b9d6e7131a7613ec772bba,IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8
r_cname,Domain_e3ae2eefdc054c8594d33554bac3aa71aeb48163b9b9d6e7131a7613ec772bba,Domain_0d00ce77a37ed837befdfc1724da07954d24eb6543b415f74c56382af0b5ed20
r_subdomain,Domain_2717f21310f8ebbb22cc3a443f7dac403dbca3c3a644be9d7b5083e705896021,Domain_bd953c8b8fcf64770927ca3c36e5d6733df2ca5d1c74af3d74b6af055ad5b981
r_dns_a,Domain_2717f21310f8ebbb22cc3a443f7dac403dbca3c3a644be9d7b5083e705896021,IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8
r_cname,Domain_2717f21310f8ebbb22cc3a443f7dac403dbca3c3a644be9d7b5083e705896021,Domain_9c5b18b19c13d7df75e7f8a28346bea108e04a889b9ac381ff3df31df3692561
r_dns_a,Domain_a5a471ba88413b0b1e8bc75b4aa8aec1224219f19170cc31c5f85d9e9f87d0ff,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_cname,Domain_a5a471ba88413b0b1e8bc75b4aa8aec1224219f19170cc31c5f85d9e9f87d0ff,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_whois_name,Domain_b54eed305cb470ba7f8469dcf7a0810042be76e0c5588861de1fa0d75b4505b3,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
r_subdomain,Domain_7e373bedee699585cc9a38933a2cb23b9c74ee1da9f67d9b005b34ca2f9c4783,Domain_633658485e7b1c3d4c54d2b5c87d63005c6a6af67ac70fe023f5271396806b5f
