weight,relation,source,target
4,r_subdomain,Domain_8bcd69d51ec47fdd0418df83f3242e0cd6a33e26706c57696c7db7a6b0dc25b6,Domain_e63287954f632b27cc0c4c1e1d3a1ac105f4d1cd1a018aad80616e5089068c0a
4,r_dns_a,Domain_8bcd69d51ec47fdd0418df83f3242e0cd6a33e26706c57696c7db7a6b0dc25b6,IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a
4,r_dns_a,Domain_8bcd69d51ec47fdd0418df83f3242e0cd6a33e26706c57696c7db7a6b0dc25b6,IP_36b2ba5b0800d154ef3add5672b7561af9535edd92d2c3323c64880498b45a05
2,r_cname,Domain_8bcd69d51ec47fdd0418df83f3242e0cd6a33e26706c57696c7db7a6b0dc25b6,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
4,r_subdomain,Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,Domain_b10f98a9b53806ccd3a5ee45676c7c09366545c5b12aa96955cde3953e7ad058
4,r_dns_a,Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a
4,r_dns_a,Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,IP_36b2ba5b0800d154ef3add5672b7561af9535edd92d2c3323c64880498b45a05
2,r_cname,Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
4,r_cert,Domain_78a81f35073bc428c7e4e79f0ae42b0142b51a4e7ffc7129762ae26e66bd50d3,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
4,r_cert,Domain_51c280ae89a8493b3bf85d115f3ac6ec99bacdeac4402d1ef471299b72c8c0ac,Cert_a77b63d27d07fd9cc522afb93664f99d9f56f9edadf84e44ef4537748dc19141
4,r_dns_a,Domain_51c280ae89a8493b3bf85d115f3ac6ec99bacdeac4402d1ef471299b72c8c0ac,IP_cd3ce4957d196a1a2871f3b850cb5ab89ffa2643033d7b05319951f2be9322e0
4,r_cert,Domain_392129e8cd25839f7806ca28c24937365f89437205d51dd80265392d6ae04c45,Cert_a77b63d27d07fd9cc522afb93664f99d9f56f9edadf84e44ef4537748dc19141
4,r_dns_a,Domain_392129e8cd25839f7806ca28c24937365f89437205d51dd80265392d6ae04c45,IP_cd3ce4957d196a1a2871f3b850cb5ab89ffa2643033d7b05319951f2be9322e0
2,r_cname,Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a
4,r_cert,Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
2,r_cname,Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
4,r_subdomain,Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,Domain_52c06776290c63557637ca890e0f00f6258cb81b292e1d566856f7133148f86d
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_339993bcdc8b1ee9986f7caec5823de0c6cc0ac98f3dee93bd19a4a41f0a9035
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_3a0fb6e4a11a4d966d86d617e057d58f6e83e4efe8b09f6f0a98c181db51f4cb
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_e998645a62e8b982112093acf8287631f58a999dafc6ed68f33c5c6ffa302183
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_f7a2c9e9efed756ef4db4e9d74faebaa1cef992355d47e351a3c38230872f03c
4,r_cert,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,Domain_259d75ef501aa81ff11b5c1035bf3ab40b60c17f63100930dc9f40ddd6fb5413
