weight,relation,source,target
3,r_whois_name,Domain_7ab379123d184677806451bdfb5ad2f928ea9a5b47d37ff7e7a17a9eb5c5718d,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
3,r_whois_email,Domain_7ab379123d184677806451bdfb5ad2f928ea9a5b47d37ff7e7a17a9eb5c5718d,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
3,r_whois_phone,Domain_7ab379123d184677806451bdfb5ad2f928ea9a5b47d37ff7e7a17a9eb5c5718d,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
3,r_whois_name,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
3,r_whois_email,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
3,r_whois_phone,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
4,r_subdomain,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Domain_cee489b4e75d3b79f86fc13516688cb4ed6a84e39f139f25014bf97c0d7bfbf1
2,r_cname,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Domain_f3554b666038baffa5814c319d3053ee2c2eb30d31d0ef509a1a463386b69845
4,r_dns_a,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,IP_e9d4d0c9b504b782a7e04f78cf471fc52abba41c1330dec1bd5cfb583add10ce
4,r_cert,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226
4,r_cert,Domain_b9d1b3ce2720d6a35f932fd4b17547f0492fa9d361274320c54a8d626a254780,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
3,r_whois_name,Domain_7ec28bec87e9af2e9ad31af2eaecbf98baaf96ee117effed4f873047473fe016,Whois_Name_d93c941eef173511e77515af6861025e9a2a52d597e27bf1825961c2690e66cd
3,r_whois_email,Domain_7ec28bec87e9af2e9ad31af2eaecbf98baaf96ee117effed4f873047473fe016,Whois_Email_62fe1d0691991999225c173a7c6b4da96e9d590457cfb31befb84fc0e980c15e
4,r_cert,Domain_142f38ea173fe65a1138c9d3168e69dfb38341dd5b96c85cd93d2fc678474b2a,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
