relation,source,target
r_cname,Domain_cc3c20199562f1721e1e4caf641ebde4563d0d3a27f0c54e9b47c3360dc668b5,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_dns_a,Domain_4051c10b47ce50718baaefa9fb076ef08ba365845696bedd7e704585d674ce2a,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_dns_a,Domain_4051c10b47ce50718baaefa9fb076ef08ba365845696bedd7e704585d674ce2a,IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b
r_dns_a,Domain_c64a41844e547d665005f65152af6caf20c679a0fe2748b725200a1709ef8b7b,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_c64a41844e547d665005f65152af6caf20c679a0fe2748b725200a1709ef8b7b,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_bc04253dca9a9e10852a41ce805f11d36b670cd5b6b521bef457214829579455,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_bc04253dca9a9e10852a41ce805f11d36b670cd5b6b521bef457214829579455,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_bb8efdff89e7e7f090e4942f9f7a3126eb66a04b20931210a318e72706796d4e,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_bb8efdff89e7e7f090e4942f9f7a3126eb66a04b20931210a318e72706796d4e,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_705c0469be136482b21d58562c4fcb143c290005ed5d46b5e81d439719c873c0,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_705c0469be136482b21d58562c4fcb143c290005ed5d46b5e81d439719c873c0,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_9097c97f5f9480a1c0f823a8b526537fe69a614dbff6a70e9633b6bfd09171a5,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_9097c97f5f9480a1c0f823a8b526537fe69a614dbff6a70e9633b6bfd09171a5,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_5b0152b6a6b9ce5ada8afe2c08073dbe5c8f13af7a2d773524b73b74349ba961,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_5b0152b6a6b9ce5ada8afe2c08073dbe5c8f13af7a2d773524b73b74349ba961,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_7c3ec7eac1db757e9d4123253a0d849f2ec2361a0524c99443005e4c089f3da1,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_7c3ec7eac1db757e9d4123253a0d849f2ec2361a0524c99443005e4c089f3da1,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_28f76ed331a2b6f7bc793cb4c0dbd84f59982f3cf2f405c9a2930b5933ab0883,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_28f76ed331a2b6f7bc793cb4c0dbd84f59982f3cf2f405c9a2930b5933ab0883,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_75ff1748ad366fcec5beec72c3050abd650b327015e9f9fa7fc8307671ee2df0,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_75ff1748ad366fcec5beec72c3050abd650b327015e9f9fa7fc8307671ee2df0,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_cname,Domain_472e8708da3ca9925241c5d72168b748ae3e20fed62396db239667a9184c73c8,Domain_0d00ce77a37ed837befdfc1724da07954d24eb6543b415f74c56382af0b5ed20
r_asn,IP_e18c08456263011cae5169bf09c082327666dfa58edfffa6bc2b2c1916d116c0,ASN_6a0c9a56ebebd16ea4102d37abf9ed07c57ba09e381fb9d35684f9534f1dd1c6
r_cname,Domain_4051c10b47ce50718baaefa9fb076ef08ba365845696bedd7e704585d674ce2a,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_dns_a,Domain_6fda21b4a215dfa7022ef5a73ff58e06c47e3de488adaf944e77b1b10bcd5748,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_dns_a,Domain_6fda21b4a215dfa7022ef5a73ff58e06c47e3de488adaf944e77b1b10bcd5748,IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b
r_whois_name,Domain_79cffb41f251f1a2c156b7a23109e39eab2c0281788b90181f151ebbdc0df35f,Whois_Name_de0028f3c98af91de7cedb211a80651cff0d5037e648532696b967e74c0aec57
r_cname,Domain_79cffb41f251f1a2c156b7a23109e39eab2c0281788b90181f151ebbdc0df35f,Domain_0d00ce77a37ed837befdfc1724da07954d24eb6543b415f74c56382af0b5ed20
r_subdomain,Domain_ba661dc6d5dd64da7f6e60e0be6e0fbe61d49d9c42f4e2c6f51e364f3d4e55cc,Domain_37ad3693c69bca2600fceff56c2e3642eec34202d9ba412901e57fb77f01fa71
