relation,source,target
r_dns_a,Domain_4051c10b47ce50718baaefa9fb076ef08ba365845696bedd7e704585d674ce2a,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_dns_a,Domain_4051c10b47ce50718baaefa9fb076ef08ba365845696bedd7e704585d674ce2a,IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b
r_dns_a,Domain_c64a41844e547d665005f65152af6caf20c679a0fe2748b725200a1709ef8b7b,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_c64a41844e547d665005f65152af6caf20c679a0fe2748b725200a1709ef8b7b,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_bc04253dca9a9e10852a41ce805f11d36b670cd5b6b521bef457214829579455,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_bc04253dca9a9e10852a41ce805f11d36b670cd5b6b521bef457214829579455,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_bb8efdff89e7e7f090e4942f9f7a3126eb66a04b20931210a318e72706796d4e,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_bb8efdff89e7e7f090e4942f9f7a3126eb66a04b20931210a318e72706796d4e,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_705c0469be136482b21d58562c4fcb143c290005ed5d46b5e81d439719c873c0,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_705c0469be136482b21d58562c4fcb143c290005ed5d46b5e81d439719c873c0,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_9097c97f5f9480a1c0f823a8b526537fe69a614dbff6a70e9633b6bfd09171a5,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_9097c97f5f9480a1c0f823a8b526537fe69a614dbff6a70e9633b6bfd09171a5,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_5b0152b6a6b9ce5ada8afe2c08073dbe5c8f13af7a2d773524b73b74349ba961,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_5b0152b6a6b9ce5ada8afe2c08073dbe5c8f13af7a2d773524b73b74349ba961,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_7c3ec7eac1db757e9d4123253a0d849f2ec2361a0524c99443005e4c089f3da1,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_7c3ec7eac1db757e9d4123253a0d849f2ec2361a0524c99443005e4c089f3da1,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_28f76ed331a2b6f7bc793cb4c0dbd84f59982f3cf2f405c9a2930b5933ab0883,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_28f76ed331a2b6f7bc793cb4c0dbd84f59982f3cf2f405c9a2930b5933ab0883,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_75ff1748ad366fcec5beec72c3050abd650b327015e9f9fa7fc8307671ee2df0,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_75ff1748ad366fcec5beec72c3050abd650b327015e9f9fa7fc8307671ee2df0,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_6fda21b4a215dfa7022ef5a73ff58e06c47e3de488adaf944e77b1b10bcd5748,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_dns_a,Domain_6fda21b4a215dfa7022ef5a73ff58e06c47e3de488adaf944e77b1b10bcd5748,IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b
r_dns_a,Domain_afae2c4d4ed094ee83f80412bf5726868c82e63035fcd82a7d2df84127d5d4ff,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_afae2c4d4ed094ee83f80412bf5726868c82e63035fcd82a7d2df84127d5d4ff,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_4ec8797fa32d58673a9a1b81c1e84ccccb930e8dd05a9573255ee4e8834f40e6,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_4ec8797fa32d58673a9a1b81c1e84ccccb930e8dd05a9573255ee4e8834f40e6,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_fe10f6bf4bbe30b7254b866f4eb78c737eb20a475650dc5bf5e079afe4a12a90,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_fe10f6bf4bbe30b7254b866f4eb78c737eb20a475650dc5bf5e079afe4a12a90,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_96212606192b4fd642d235be502db35cb9375b6ab8a6072735f9dfbe0a007ede,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_96212606192b4fd642d235be502db35cb9375b6ab8a6072735f9dfbe0a007ede,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_d4c84ff960caf49700b238039ab8169074729f0adda98af68b35ba5575fa8bdd,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_d4c84ff960caf49700b238039ab8169074729f0adda98af68b35ba5575fa8bdd,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_89edb6f5f6a3845e3ae4ebf86e5bbb46a638ed5f9d59f13fa8580abf48b5890b,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_89edb6f5f6a3845e3ae4ebf86e5bbb46a638ed5f9d59f13fa8580abf48b5890b,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_6b2ff25d45a06d650cae1278cc4711f0b72163225314c0d11cf68ba2efb297b2,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_6b2ff25d45a06d650cae1278cc4711f0b72163225314c0d11cf68ba2efb297b2,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_8a55388f8d14842c03eb0b59606f8027699b780008adcfa9d2d16eae3ea2c4a9,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_8a55388f8d14842c03eb0b59606f8027699b780008adcfa9d2d16eae3ea2c4a9,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_0146a85951765146ad11f1a1f1ca90a8709ca7640e7ab64ed227a9cf65d6ffce,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_0146a85951765146ad11f1a1f1ca90a8709ca7640e7ab64ed227a9cf65d6ffce,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_2947dd98701587091b4cff32693eb6f1d56de21a9f9576dc221e3121d5d2a314,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_2947dd98701587091b4cff32693eb6f1d56de21a9f9576dc221e3121d5d2a314,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_94e7686157c026fb37b677689c3f6bfde48feb0da5da8f6ffb0df03f3b45bb21,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_94e7686157c026fb37b677689c3f6bfde48feb0da5da8f6ffb0df03f3b45bb21,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_b5158eb3e61b273164c399edf17fe1729bb8c28c87af1123bcc79b14db978490,IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636
r_dns_a,Domain_8e36ce0c821bdeaa0b0b5d89ea30ebe1bb4e2277fe6585b5224c6fabe8163363,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_dns_a,Domain_8e36ce0c821bdeaa0b0b5d89ea30ebe1bb4e2277fe6585b5224c6fabe8163363,IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b
r_dns_a,Domain_b5158eb3e61b273164c399edf17fe1729bb8c28c87af1123bcc79b14db978490,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
r_dns_a,Domain_425cb010f6cb6a79cbddf25c18e3f06660a4b1ec09a5d4f39c84e802c3f1382f,IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17
